SOILclass,Levels1,Levels2,Levels3,Levels4
BdL,RapidDrain,RapidDrain,RapidDrain,RapidDrain
BlO,Saline,Saline,Saline,SalineAndClay
CS,RapidDrain,RapidDrain,RapidDrain,RapidDrain
Cy,Clay,Clay,ProductiveAndClay,SalineAndClay
Gr,RapidDrain,RapidDrain,RapidDrain,RapidDrain
Len,Productive,Productive,ProductiveAndClay,Productive
LenA,Saline,Saline,Saline,Saline
LenS,Productive,Productive,ProductiveAndClay,Productive
LenSP,Productive,Productive,ProductiveAndClay,Productive
LenT,Productive,Productive,ProductiveAndClay,Productive
LenW,Productive,Productive,ProductiveAndClay,Productive
Li,Productive,Productive,ProductiveAndClay,Productive
Lo,Productive,Productive,ProductiveAndClay,Productive
Ltc,Productive,Productive,ProductiveAndClay,Productive
LtcC,Productive,Productive,ProductiveAndClay,Productive
LtcD,Productive,Productive,ProductiveAndClay,Productive
LtcH,Productive,Productive,ProductiveAndClay,Productive
LtcS,Productive,Productive,ProductiveAndClay,Productive
LtcR,Productive,Productive,ProductiveAndClay,Productive
Ov,Saline,Saline,Saline,SalineAndClay
Sa,RapidDrain,RapidDrain,RapidDrain,RapidDrain
Sb,Productive,Productive,ProductiveAndClay,Productive
SL,Saline,Saline,Saline,SalineAndClay
SwG,RapidDrain,RapidDrain,RapidDrain,RapidDrain
Sy,Productive,Productive,ProductiveAndClay,Productive
TB,RapidDrain,RapidDrain,RapidDrain,RapidDrain
UNK,SoilUnknown,SoilUnknown,SoilUnknown,SoilUnknown
Water,SoilWater,SoilWater,SoilWater,SoilWater
